Age,Indicator,County,Value
TOTAL,New Infections,Nyeri,1003
TOTAL,New Infections,Nyandarua,749
TOTAL,New Infections,Kiambu,2763
TOTAL,New Infections,Murang’a,1422
TOTAL,New Infections,Kirinyaga,678
TOTAL,New Infections,West Pokot,144
TOTAL,New Infections,Turkana,556
TOTAL,New Infections,Trans Nzoia,693
TOTAL,New Infections,Narok,438
TOTAL,New Infections,Nandi,305
TOTAL,New Infections,Nakuru,1186
TOTAL,New Infections,Elgeyo Marakwet,115
TOTAL,New Infections,Laikipia,222
TOTAL,New Infections,Kericho,419
TOTAL,New Infections,Kajiado,595
TOTAL,New Infections,Bomet,254
TOTAL,New Infections,Baringo,140
TOTAL,New Infections,Samburu,73
TOTAL,New Infections,Uasin Gishu,771
TOTAL,New Infections,Bungoma,1246
TOTAL,New Infections,Kakamega,2197
TOTAL,New Infections,Busia,1601
TOTAL,New Infections,Vihiga,827
TOTAL,New Infections,Siaya,4039
TOTAL,New Infections,Kisii,1243
TOTAL,New Infections,Migori,2814
TOTAL,New Infections,Kisumu,4012
TOTAL,New Infections,Homa Bay,4558
TOTAL,New Infections,Nyamira,623
TOTAL,HIV-related Deaths,Kenya,28214
TOTAL,HIV-related Deaths,Nairobi,2612
TOTAL,HIV-related Deaths,Mombasa,777
TOTAL,HIV-related Deaths,Kwale,361
TOTAL,HIV-related Deaths,Kilifi,617
TOTAL,HIV-related Deaths,Lamu,49
TOTAL,HIV-related Deaths,Taita Taveta,191
TOTAL,HIV-related Deaths,Tana River,42
TOTAL,HIV-related Deaths,Garissa,193
TOTAL,HIV-related Deaths,Mandera,66
TOTAL,HIV-related Deaths,Wajir,21
TOTAL,HIV-related Deaths,Embu,225
TOTAL,HIV-related Deaths,Marsabit,54
TOTAL,HIV-related Deaths,Meru,503
TOTAL,HIV-related Deaths,Isiolo,66
TOTAL,HIV-related Deaths,Makueni,515
TOTAL,HIV-related Deaths,Kitui,600
TOTAL,HIV-related Deaths,Machakos,630
TOTAL,HIV-related Deaths,Tharaka Nithi,177
TOTAL,HIV-related Deaths,Nyeri,424
TOTAL,HIV-related Deaths,Nyandarua,316
TOTAL,HIV-related Deaths,Kiambu,1166
TOTAL,HIV-related Deaths,Murang’a,600
TOTAL,HIV-related Deaths,Kirinyaga,286
TOTAL,HIV-related Deaths,West Pokot,152
TOTAL,HIV-related Deaths,Turkana,588
TOTAL,HIV-related Deaths,Trans Nzoia,733
TOTAL,HIV-related Deaths,Narok,463
TOTAL,HIV-related Deaths,Nandi,323
TOTAL,HIV-related Deaths,Nakuru,1255
TOTAL,HIV-related Deaths,Elgeyo Marakwet,121
TOTAL,HIV-related Deaths,Laikipia,235
TOTAL,HIV-related Deaths,Kericho,444
TOTAL,HIV-related Deaths,Kajiado,629
TOTAL,HIV-related Deaths,Bomet,269
TOTAL,HIV-related Deaths,Baringo,149
TOTAL,HIV-related Deaths,Samburu,78
TOTAL,HIV-related Deaths,Uasin Gishu,816
TOTAL,HIV-related Deaths,Bungoma,561
TOTAL,HIV-related Deaths,Kakamega,989
TOTAL,HIV-related Deaths,Busia,721
TOTAL,HIV-related Deaths,Vihiga,372
TOTAL,HIV-related Deaths,Siaya,2062
TOTAL,HIV-related Deaths,Kisii,634
TOTAL,HIV-related Deaths,Migori,1436
TOTAL,HIV-related Deaths,Kisumu,2048
TOTAL,HIV-related Deaths,Homa Bay,2326
TOTAL,HIV-related Deaths,Nyamira,318
ADULTS,Adults on ART,Kenya,1035618
ADULTS,Adults on ART,Nairobi,140724
ADULTS,Adults on ART,Mombasa,41748
ADULTS,Adults on ART,Kwale,7286
ADULTS,Adults on ART,Kilifi,21224
ADULTS,Adults on ART,Lamu,954
ADULTS,Adults on ART,Taita Taveta,4710
ADULTS,Adults on ART,Tana River,657
ADULTS,Adults on ART,Garissa,1296
ADULTS,Adults on ART,Mandera,445
ADULTS,Adults on ART,Wajir,194
ADULTS,Adults on ART,Embu,7846
ADULTS,Adults on ART,Marsabit,1155
ADULTS,Adults on ART,Meru,17283
ADULTS,Adults on ART,Isiolo,1972
ADULTS,Adults on ART,Makueni,15841
ADULTS,Adults on ART,Kitui,17257
ADULTS,Adults on ART,Machakos,22712
ADULTS,Adults on ART,Tharaka Nithi,6022
ADULTS,Adults on ART,Nyeri,12643
ADULTS,Adults on ART,Nyandarua,5944
ADULTS,Adults on ART,Kiambu,34417
ADULTS,Adults on ART,Murang’a,12922
ADULTS,Adults on ART,Kirinyaga,9074
ADULTS,Adults on ART,West Pokot,3164
ADULTS,Adults on ART,Turkana,4945
ADULTS,Adults on ART,Trans Nzoia,12510
ADULTS,Adults on ART,Narok,7512
ADULTS,Adults on ART,Nandi,7681
ADULTS,Adults on ART,Nakuru,37619
ADULTS,Adults on ART,Elgeyo Marakwet,2540
ADULTS,Adults on ART,Laikipia,5386
ADULTS,Adults on ART,Kericho,16045
ADULTS,Adults on ART,Kajiado,11658
ADULTS,Adults on ART,Bomet,9186
ADULTS,Adults on ART,Baringo,3450
ADULTS,Adults on ART,Samburu,1197
ADULTS,Adults on ART,Uasin Gishu,29557
ADULTS,Adults on ART,Bungoma,22375
ADULTS,Adults on ART,Kakamega,40525
ADULTS,Adults on ART,Busia,33654
ADULTS,Adults on ART,Vihiga,13131
ADULTS,Adults on ART,Siaya,80123
ADULTS,Adults on ART,Kisii,27571
ADULTS,Adults on ART,Migori,65820
ADULTS,Adults on ART,Kisumu,101527
ADULTS,Adults on ART,Homa Bay,100677
ADULTS,Adults on ART,Nyamira,13439
ADULTS,Coverage,Kenya,0.75
ADULTS,Coverage,Nairobi,0.77
ADULTS,Coverage,Kwale,0.41
ADULTS,Coverage,Kilifi,0.69
ADULTS,Coverage,Lamu,0.39
ADULTS,Coverage,Taita Taveta,0.5
ADULTS,Coverage,Tana River,0.32
ADULTS,Coverage,Garissa,0.55
ADULTS,Coverage,Mandera,0.55
ADULTS,Coverage,Wajir,0.74
ADULTS,Coverage,Embu,0.8
ADULTS,Coverage,Marsabit,0.49
ADULTS,Coverage,Meru,0.78
ADULTS,Coverage,Isiolo,0.68
ADULTS,Coverage,Makueni,0.7
ADULTS,Coverage,Kitui,0.65
ADULTS,Coverage,Machakos,0.82
ADULTS,Coverage,Tharaka Nithi,0.77
ADULTS,Coverage,Nyeri,0.61
ADULTS,Coverage,Nyandarua,0.39
ADULTS,Coverage,Kiambu,0.61
ADULTS,Coverage,Murang’a,0.44
ADULTS,Coverage,Kirinyaga,0.65
ADULTS,Coverage,West Pokot,0.57
ADULTS,Coverage,Turkana,0.23
ADULTS,Coverage,Trans Nzoia,0.47
ADULTS,Coverage,Narok,0.45
ADULTS,Coverage,Nandi,0.66
ADULTS,Coverage,Nakuru,0.83
ADULTS,Coverage,Elgeyo Marakwet,0.58
ADULTS,Coverage,Laikipia,0.63
ADULTS,Coverage,Kericho,1
ADULTS,Coverage,Kajiado,0.51
ADULTS,Coverage,Bomet,0.94
ADULTS,Coverage,Baringo,0.64
ADULTS,Coverage,Samburu,0.42
ADULTS,Coverage,Uasin Gishu,1
ADULTS,Coverage,Bungoma,0.81
ADULTS,Coverage,Kakamega,0.83
ADULTS,Coverage,Busia,0.95
ADULTS,Coverage,Vihiga,0.72
ADULTS,Coverage,Siaya,0.71
ADULTS,Coverage,Kisii,0.79
ADULTS,Coverage,Migori,0.83
ADULTS,Coverage,Kisumu,0.9
ADULTS,Coverage,Homa Bay,0.79
ADULTS,Coverage,Nyamira,0.77
CHILDREN,Children on ART,Kenya,86325
CHILDREN,Children on ART,Nairobi,7611
CHILDREN,Children on ART,Mombasa,2630
CHILDREN,Children on ART,Kwale,785
CHILDREN,Children on ART,Kilifi,2233
CHILDREN,Children on ART,Lamu,99
CHILDREN,Children on ART,Taita Taveta,352
CHILDREN,Children on ART,Tana River,74
CHILDREN,Children on ART,Garissa,71
CHILDREN,Children on ART,Mandera,39
CHILDREN,Children on ART,Wajir,9
CHILDREN,Children on ART,Embu,747
CHILDREN,Children on ART,Marsabit,160
CHILDREN,Children on ART,Meru,1649
CHILDREN,Children on ART,Isiolo,248
CHILDREN,Children on ART,Makueni,1719
CHILDREN,Children on ART,Kitui,2003
CHILDREN,Children on ART,Machakos,2148
CHILDREN,Children on ART,Tharaka Nithi,507
CHILDREN,Children on ART,Nyeri,732
CHILDREN,Children on ART,Nyandarua,539
CHILDREN,Children on ART,Kiambu,1972
CHILDREN,Children on ART,Murang’a,935
CHILDREN,Children on ART,Kirinyaga,625
CHILDREN,Children on ART,West Pokot,478
CHILDREN,Children on ART,Turkana,713
CHILDREN,Children on ART,Trans Nzoia,1144
CHILDREN,Children on ART,Narok,887
CHILDREN,Children on ART,Nandi,667
CHILDREN,Children on ART,Nakuru,2963
CHILDREN,Children on ART,Elgeyo Marakwet,232
CHILDREN,Children on ART,Laikipia,457
CHILDREN,Children on ART,Kericho,1462
CHILDREN,Children on ART,Kajiado,845
CHILDREN,Children on ART,Bomet,850
CHILDREN,Children on ART,Baringo,364
CHILDREN,Children on ART,Samburu,232
CHILDREN,Children on ART,Uasin Gishu,2067
CHILDREN,Children on ART,Bungoma,2104
CHILDREN,Children on ART,Kakamega,3977
CHILDREN,Children on ART,Busia,2415
CHILDREN,Children on ART,Vihiga,1370
CHILDREN,Children on ART,Siaya,7462
CHILDREN,Children on ART,Kisii,2337
CHILDREN,Children on ART,Migori,6175
CHILDREN,Children on ART,Kisumu,8225
CHILDREN,Children on ART,Homa Bay,9655
CHILDREN,Children on ART,Nyamira,1357
CHILDREN,Coverage,Kenya,0.82
CHILDREN,Coverage,Nairobi,0.94
CHILDREN,Coverage,Mombasa,0.86
CHILDREN,Coverage,Kwale,0.55
CHILDREN,Coverage,Kilifi,0.92
CHILDREN,Coverage,Lamu,0.51
CHILDREN,Coverage,Taita Taveta,0.47
CHILDREN,Coverage,Tana River,0.45
CHILDREN,Coverage,Garissa,0.13
CHILDREN,Coverage,Mandera,0.21
CHILDREN,Coverage,Wajir,0.15
CHILDREN,Coverage,Embu,0.87
CHILDREN,Coverage,Marsabit,0.78
CHILDREN,Coverage,Meru,0.86
CHILDREN,Coverage,Isiolo,0.99
CHILDREN,Coverage,Makueni,0.88
CHILDREN,Coverage,Kitui,0.88
CHILDREN,Coverage,Machakos,0.9
CHILDREN,Coverage,Tharaka Nithi,0.75
CHILDREN,Coverage,Nyeri,0.84
CHILDREN,Coverage,Nyandarua,0.83
CHILDREN,Coverage,Kiambu,0.82
CHILDREN,Coverage,Murang’a,0.76
CHILDREN,Coverage,West Pokot,0.98
CHILDREN,Coverage,Turkana,0.38
CHILDREN,Coverage,Trans Nzoia,0.49
CHILDREN,Coverage,Narok,0.6
CHILDREN,Coverage,Nandi,0.64
CHILDREN,Coverage,Nakuru,0.74
CHILDREN,Coverage,Elgeyo Marakwet,0.6
CHILDREN,Coverage,Laikipia,0.61
CHILDREN,Coverage,Kajiado,0.42
CHILDREN,Coverage,Bomet,0.99
CHILDREN,Coverage,Baringo,0.76
CHILDREN,Coverage,Samburu,0.93
CHILDREN,Coverage,Uasin Gishu,0.79
CHILDREN,Coverage,Bungoma,0.88
CHILDREN,Coverage,Kakamega,0.94
CHILDREN,Coverage,Busia,0.78
CHILDREN,Coverage,Vihiga,0.86
CHILDREN,Coverage,Siaya,0.79
CHILDREN,Coverage,Kisii,0.8
CHILDREN,Coverage,Migori,0.93
CHILDREN,Coverage,Kisumu,0.87
CHILDREN,Coverage,Homa Bay,0.9
CHILDREN,Coverage,Nyamira,0.93
PREGNANT WOMEN,Need for PMTCT,Kenya,69497
PREGNANT WOMEN,Need for PMTCT,Nairobi,7809
PREGNANT WOMEN,Need for PMTCT,Mombasa,1968
PREGNANT WOMEN,Need for PMTCT,Kwale,913
PREGNANT WOMEN,Need for PMTCT,Kilifi,1562
PREGNANT WOMEN,Need for PMTCT,Lamu,125
PREGNANT WOMEN,Need for PMTCT,Taita Taveta,483
PREGNANT WOMEN,Need for PMTCT,Tana River,106
PREGNANT WOMEN,Need for PMTCT,Garissa,188
PREGNANT WOMEN,Need for PMTCT,Mandera,64
PREGNANT WOMEN,Need for PMTCT,Wajir,21
PREGNANT WOMEN,Need for PMTCT,Embu,432
PREGNANT WOMEN,Need for PMTCT,Marsabit,104
PREGNANT WOMEN,Need for PMTCT,Meru,966
PREGNANT WOMEN,Need for PMTCT,Isiolo,126
PREGNANT WOMEN,Need for PMTCT,Makueni,990
PREGNANT WOMEN,Need for PMTCT,Kitui,1154
PREGNANT WOMEN,Need for PMTCT,Machakos,1211
PREGNANT WOMEN,Need for PMTCT,Tharaka Nithi,340
PREGNANT WOMEN,Need for PMTCT,Nyeri,548
PREGNANT WOMEN,Need for PMTCT,Nyandarua,410
PREGNANT WOMEN,Need for PMTCT,Kiambu,1510
PREGNANT WOMEN,Need for PMTCT,Murang’a,777
PREGNANT WOMEN,Need for PMTCT,Kirinyaga,371
PREGNANT WOMEN,Need for PMTCT,West Pokot,289
PREGNANT WOMEN,Need for PMTCT,Turkana,1117
PREGNANT WOMEN,Need for PMTCT,Trans Nzoia,1393
PREGNANT WOMEN,Need for PMTCT,Narok,880
PREGNANT WOMEN,Need for PMTCT,Nandi,613
PREGNANT WOMEN,Need for PMTCT,Nakuru,2384
PREGNANT WOMEN,Need for PMTCT,Elgeyo Marakwet,230
PREGNANT WOMEN,Need for PMTCT,Laikipia,446
PREGNANT WOMEN,Need for PMTCT,Kericho,843
PREGNANT WOMEN,Need for PMTCT,Kajiado,1196
PREGNANT WOMEN,Need for PMTCT,Bomet,511
PREGNANT WOMEN,Need for PMTCT,Baringo,282
PREGNANT WOMEN,Need for PMTCT,Samburu,148
PREGNANT WOMEN,Need for PMTCT,Uasin Gishu,1551
PREGNANT WOMEN,Need for PMTCT,Bungoma,1868
PREGNANT WOMEN,Need for PMTCT,Kakamega,3294
PREGNANT WOMEN,Need for PMTCT,Busia,2401
PREGNANT WOMEN,Need for PMTCT,Vihiga,1240
PREGNANT WOMEN,Need for PMTCT,Siaya,6222
PREGNANT WOMEN,Need for PMTCT,Kisii,1914
PREGNANT WOMEN,Need for PMTCT,Migori,4335
PREGNANT WOMEN,Need for PMTCT,Kisumu,6181
PREGNANT WOMEN,Need for PMTCT,Homa Bay,7021
PREGNANT WOMEN,Need for PMTCT,Nyamira,960
PREGNANT WOMEN,No on PMTCT,Kenya,53067
PREGNANT WOMEN,No on PMTCT,Nairobi,7056
PREGNANT WOMEN,No on PMTCT,Mombasa,1970
PREGNANT WOMEN,No on PMTCT,Kwale,445
PREGNANT WOMEN,No on PMTCT,Kilifi,1081
PREGNANT WOMEN,No on PMTCT,Lamu,96
PREGNANT WOMEN,No on PMTCT,Taita Taveta,177
PREGNANT WOMEN,No on PMTCT,Tana River,25
PREGNANT WOMEN,No on PMTCT,Garissa,31
PREGNANT WOMEN,No on PMTCT,Mandera,3
PREGNANT WOMEN,No on PMTCT,Wajir,0
PREGNANT WOMEN,No on PMTCT,Embu,302
PREGNANT WOMEN,No on PMTCT,Marsabit,29
PREGNANT WOMEN,No on PMTCT,Meru,558
PREGNANT WOMEN,No on PMTCT,Isiolo,56
PREGNANT WOMEN,No on PMTCT,Makueni,546
PREGNANT WOMEN,No on PMTCT,Kitui,615
PREGNANT WOMEN,No on PMTCT,Machakos,979
PREGNANT WOMEN,No on PMTCT,Tharaka Nithi,132
PREGNANT WOMEN,No on PMTCT,Nyeri,442
PREGNANT WOMEN,No on PMTCT,Nyandarua,340
PREGNANT WOMEN,No on PMTCT,Kiambu,1836
PREGNANT WOMEN,No on PMTCT,Murang’a,460
PREGNANT WOMEN,No on PMTCT,Kirinyaga,307
PREGNANT WOMEN,No on PMTCT,West Pokot,130
PREGNANT WOMEN,No on PMTCT,Turkana,531
PREGNANT WOMEN,No on PMTCT,Trans Nzoia,611
PREGNANT WOMEN,No on PMTCT,Narok,472
PREGNANT WOMEN,No on PMTCT,Nandi,476
PREGNANT WOMEN,No on PMTCT,Nakuru,1933
PREGNANT WOMEN,No on PMTCT,Elgeyo Marakwet,176
PREGNANT WOMEN,No on PMTCT,Laikipia,305
PREGNANT WOMEN,No on PMTCT,Kericho,532
PREGNANT WOMEN,No on PMTCT,Kajiado,922
PREGNANT WOMEN,No on PMTCT,Bomet,464
PREGNANT WOMEN,No on PMTCT,Baringo,204
PREGNANT WOMEN,No on PMTCT,Samburu,47
PREGNANT WOMEN,No on PMTCT,Uasin Gishu,1109
PREGNANT WOMEN,No on PMTCT,Bungoma,1424
PREGNANT WOMEN,No on PMTCT,Kakamega,2176
PREGNANT WOMEN,No on PMTCT,Busia,1597
PREGNANT WOMEN,No on PMTCT,Vihiga,605
PREGNANT WOMEN,No on PMTCT,Siaya,4564
PREGNANT WOMEN,No on PMTCT,Kisii,1055
PREGNANT WOMEN,No on PMTCT,Migori,4034
PREGNANT WOMEN,No on PMTCT,Kisumu,5398
PREGNANT WOMEN,No on PMTCT,Homa Bay,6304
PREGNANT WOMEN,No on PMTCT,Nyamira,512
PREGNANT WOMEN,Coverage,Kenya,0.76
PREGNANT WOMEN,Coverage,Nairobi,0.9
PREGNANT WOMEN,Coverage,Mombasa,1
PREGNANT WOMEN,Coverage,Kwale,0.49
PREGNANT WOMEN,Coverage,Kilifi,0.69
PREGNANT WOMEN,Coverage,Lamu,0.77
PREGNANT WOMEN,Coverage,Taita Taveta,0.37
PREGNANT WOMEN,Coverage,Tana River,0.24
PREGNANT WOMEN,Coverage,Garissa,0.16
PREGNANT WOMEN,Coverage,Mandera,0.05
PREGNANT WOMEN,Coverage,Wajir,0
PREGNANT WOMEN,Coverage,Embu,0.7
PREGNANT WOMEN,Coverage,Marsabit,0.28
PREGNANT WOMEN,Coverage,Meru,0.58
PREGNANT WOMEN,Coverage,Isiolo,0.44
PREGNANT WOMEN,Coverage,Makueni,0.55
PREGNANT WOMEN,Coverage,Kitui,0.53
PREGNANT WOMEN,Coverage,Machakos,0.81
PREGNANT WOMEN,Coverage,Tharaka Nithi,0.39
PREGNANT WOMEN,Coverage,Nyeri,0.81
PREGNANT WOMEN,Coverage,Nyandarua,0.83
PREGNANT WOMEN,Coverage,Murang’a,0.59
PREGNANT WOMEN,Coverage,Kirinyaga,0.83
PREGNANT WOMEN,Coverage,West Pokot,0.45
PREGNANT WOMEN,Coverage,Turkana,0.48
PREGNANT WOMEN,Coverage,Trans Nzoia,0.44
PREGNANT WOMEN,Coverage,Narok,0.54
PREGNANT WOMEN,Coverage,Nandi,0.78
PREGNANT WOMEN,Coverage,Nakuru,0.81
PREGNANT WOMEN,Coverage,Elgeyo Marakwet,0.76
PREGNANT WOMEN,Coverage,Laikipia,0.68
PREGNANT WOMEN,Coverage,Kericho,0.63
PREGNANT WOMEN,Coverage,Kajiado,0.77
PREGNANT WOMEN,Coverage,Bomet,0.91
PREGNANT WOMEN,Coverage,Baringo,0.72
PREGNANT WOMEN,Coverage,Samburu,0.32
PREGNANT WOMEN,Coverage,Uasin Gishu,0.71
PREGNANT WOMEN,Coverage,Bungoma,0.76
PREGNANT WOMEN,Coverage,Kakamega,0.66
PREGNANT WOMEN,Coverage,Busia,0.67
PREGNANT WOMEN,Coverage,Vihiga,0.49
PREGNANT WOMEN,Coverage,Siaya,0.73
PREGNANT WOMEN,Coverage,Kisii,0.55
PREGNANT WOMEN,Coverage,Migori,0.93
PREGNANT WOMEN,Coverage,Kisumu,0.87
PREGNANT WOMEN,Coverage,Homa Bay,0.9
PREGNANT WOMEN,Coverage,Nyamira,0.53
PREGNANT WOMEN,MTCT Rate,Kenya,0.115
PREGNANT WOMEN,MTCT Rate,Nairobi,0.085
PREGNANT WOMEN,MTCT Rate,Mombasa,0.034
PREGNANT WOMEN,MTCT Rate,Kwale,0.115
PREGNANT WOMEN,MTCT Rate,Kilifi,0.083
PREGNANT WOMEN,MTCT Rate,Lamu,0.071
PREGNANT WOMEN,MTCT Rate,Taita Taveta,0.134
PREGNANT WOMEN,MTCT Rate,Tana River,0.154
PREGNANT WOMEN,MTCT Rate,Garissa,0.282
PREGNANT WOMEN,MTCT Rate,Mandera,0.314
PREGNANT WOMEN,MTCT Rate,Wajir,0.326
PREGNANT WOMEN,MTCT Rate,Embu,0.129
PREGNANT WOMEN,MTCT Rate,Marsabit,0.233
PREGNANT WOMEN,MTCT Rate,Meru,0.159
PREGNANT WOMEN,MTCT Rate,Isiolo,0.192
PREGNANT WOMEN,MTCT Rate,Makueni,0.165
PREGNANT WOMEN,MTCT Rate,Kitui,0.17
PREGNANT WOMEN,MTCT Rate,Machakos,0.102
PREGNANT WOMEN,MTCT Rate,Tharaka Nithi,0.206
PREGNANT WOMEN,MTCT Rate,Nyeri,0.135
PREGNANT WOMEN,MTCT Rate,Nyandarua,0.127
PREGNANT WOMEN,MTCT Rate,Kiambu,0.062
PREGNANT WOMEN,MTCT Rate,Murang’a,0.204
PREGNANT WOMEN,MTCT Rate,Kirinyaga,0.127
PREGNANT WOMEN,MTCT Rate,West Pokot,0.19
PREGNANT WOMEN,MTCT Rate,Turkana,0.183
PREGNANT WOMEN,MTCT Rate,Trans Nzoia,0.192
PREGNANT WOMEN,MTCT Rate,Narok,0.168
PREGNANT WOMEN,MTCT Rate,Nandi,0.109
PREGNANT WOMEN,MTCT Rate,Nakuru,0.101
PREGNANT WOMEN,MTCT Rate,Elgeyo Marakwet,0.112
PREGNANT WOMEN,MTCT Rate,Laikipia,0.132
PREGNANT WOMEN,MTCT Rate,Kericho,0.145
PREGNANT WOMEN,MTCT Rate,Kajiado,0.111
PREGNANT WOMEN,MTCT Rate,Bomet,0.077
PREGNANT WOMEN,MTCT Rate,Baringo,0.123
PREGNANT WOMEN,MTCT Rate,Samburu,0.222
PREGNANT WOMEN,MTCT Rate,Uasin Gishu,0.124
PREGNANT WOMEN,MTCT Rate,Bungoma,0.108
PREGNANT WOMEN,MTCT Rate,Kakamega,0.132
PREGNANT WOMEN,MTCT Rate,Busia,0.131
PREGNANT WOMEN,MTCT Rate,Vihiga,0.173
PREGNANT WOMEN,MTCT Rate,Siaya,0.122
PREGNANT WOMEN,MTCT Rate,Kisii,0.167
PREGNANT WOMEN,MTCT Rate,Migori,0.072
PREGNANT WOMEN,MTCT Rate,Kisumu,0.087
PREGNANT WOMEN,MTCT Rate,Homa Bay,0.081
PREGNANT WOMEN,MTCT Rate,Nyamira,0.171
Adolescents (10-19),HIV+,Kenya,105230
Adolescents (10-19),HIV+,Nairobi,10604
Adolescents (10-19),HIV+,Mombasa,3164
Adolescents (10-19),HIV+,Kwale,1467
Adolescents (10-19),HIV+,Kilifi,2511
Adolescents (10-19),HIV+,Lamu,201
Adolescents (10-19),HIV+,Taita Taveta,777
Adolescents (10-19),HIV+,Tana River,170
Adolescents (10-19),HIV+,Garissa,577
Adolescents (10-19),HIV+,Mandera,197
Adolescents (10-19),HIV+,Wajir,64
Adolescents (10-19),HIV+,Embu,847
Adolescents (10-19),HIV+,Marsabit,204
Adolescents (10-19),HIV+,Meru,1896
Adolescents (10-19),HIV+,Isiolo,248
Adolescents (10-19),HIV+,Makueni,1942
Adolescents (10-19),HIV+,Kitui,2264
Adolescents (10-19),HIV+,Machakos,2377
Adolescents (10-19),HIV+,Tharaka Nithi,668
Adolescents (10-19),HIV+,Nyeri,910
Adolescents (10-19),HIV+,Nyandarua,680
Adolescents (10-19),HIV+,Kiambu,2507
Adolescents (10-19),HIV+,Murang’a,1290
Adolescents (10-19),HIV+,Kirinyaga,615
Adolescents (10-19),HIV+,West Pokot,451
Adolescents (10-19),HIV+,Turkana,1743
Adolescents (10-19),HIV+,Trans Nzoia,2173
Adolescents (10-19),HIV+,Narok,1373
Adolescents (10-19),HIV+,Nandi,956
Adolescents (10-19),HIV+,Nakuru,3719
Adolescents (10-19),HIV+,Elgeyo Marakwet,359
Adolescents (10-19),HIV+,Laikipia,696
Adolescents (10-19),HIV+,Kericho,1316
Adolescents (10-19),HIV+,Kajiado,1866
Adolescents (10-19),HIV+,Bomet,797
Adolescents (10-19),HIV+,Baringo,441
Adolescents (10-19),HIV+,Samburu,230
Adolescents (10-19),HIV+,Uasin Gishu,2420
Adolescents (10-19),HIV+,Bungoma,2297
Adolescents (10-19),HIV+,Kakamega,4050
Adolescents (10-19),HIV+,Busia,2951
Adolescents (10-19),HIV+,Vihiga,1524
Adolescents (10-19),HIV+,Siaya,9272
Adolescents (10-19),HIV+,Kisii,2852
Adolescents (10-19),HIV+,Migori,6459
Adolescents (10-19),HIV+,Kisumu,9211
Adolescents (10-19),HIV+,Homa Bay,10463
Adolescents (10-19),HIV+,Nyamira,1431
Adolescents (10-19),New Infections,Kenya,8177
Adolescents (10-19),New Infections,Nairobi,1222
Adolescents (10-19),New Infections,Mombasa,289
Adolescents (10-19),New Infections,Kwale,134
Adolescents (10-19),New Infections,Kilifi,229
Adolescents (10-19),New Infections,Lamu,18
Adolescents (10-19),New Infections,Taita Taveta,71
Adolescents (10-19),New Infections,Tana River,16
Adolescents (10-19),New Infections,Garissa,0
Adolescents (10-19),New Infections,Mandera,0
Adolescents (10-19),New Infections,Wajir,0
Adolescents (10-19),New Infections,Embu,35
Adolescents (10-19),New Infections,Marsabit,8
Adolescents (10-19),New Infections,Meru,79
Adolescents (10-19),New Infections,Isiolo,10
Adolescents (10-19),New Infections,Makueni,81
Adolescents (10-19),New Infections,Kitui,95
Adolescents (10-19),New Infections,Machakos,99
Adolescents (10-19),New Infections,Tharaka Nithi,28
Adolescents (10-19),New Infections,Nyeri,81
Adolescents (10-19),New Infections,Nyandarua,60
Adolescents (10-19),New Infections,Kiambu,222
Adolescents (10-19),New Infections,Murang’a,114
Adolescents (10-19),New Infections,Kirinyaga,54
Adolescents (10-19),New Infections,West Pokot,22
Adolescents (10-19),New Infections,Turkana,87
Adolescents (10-19),New Infections,Trans Nzoia,108
Adolescents (10-19),New Infections,Narok,68
Adolescents (10-19),New Infections,Nandi,48
Adolescents (10-19),New Infections,Nakuru,185
Adolescents (10-19),New Infections,Elgeyo Marakwet,18
Adolescents (10-19),New Infections,Laikipia,35
Adolescents (10-19),New Infections,Kericho,65
Adolescents (10-19),New Infections,Kajiado,93
Adolescents (10-19),New Infections,Bomet,40
Adolescents (10-19),New Infections,Baringo,22
Adolescents (10-19),New Infections,Samburu,11
Adolescents (10-19),New Infections,Uasin Gishu,120
Adolescents (10-19),New Infections,Bungoma,106
Adolescents (10-19),New Infections,Kakamega,187
Adolescents (10-19),New Infections,Busia,136
Adolescents (10-19),New Infections,Vihiga,70
Adolescents (10-19),New Infections,Siaya,890
Adolescents (10-19),New Infections,Kisii,274
Adolescents (10-19),New Infections,Migori,620
Adolescents (10-19),New Infections,Kisumu,884
Adolescents (10-19),New Infections,Homa Bay,1004
Adolescents (10-19),New Infections,Nyamira,137
Adolescents (10-19),HIV-related Deaths,Kenya,2072
Adolescents (10-19),HIV-related Deaths,Nairobi,155
Adolescents (10-19),HIV-related Deaths,Mombasa,67
Adolescents (10-19),HIV-related Deaths,Kwale,31
Adolescents (10-19),HIV-related Deaths,Kilifi,53
Adolescents (10-19),HIV-related Deaths,Lamu,4
Adolescents (10-19),HIV-related Deaths,Taita Taveta,16
Adolescents (10-19),HIV-related Deaths,Tana River,4
Adolescents (10-19),HIV-related Deaths,Garissa,32
Adolescents (10-19),HIV-related Deaths,Mandera,11
Adolescents (10-19),HIV-related Deaths,Wajir,4
Adolescents (10-19),HIV-related Deaths,Embu,18
Adolescents (10-19),HIV-related Deaths,Marsabit,4
Adolescents (10-19),HIV-related Deaths,Meru,40
Adolescents (10-19),HIV-related Deaths,Isiolo,5
Adolescents (10-19),HIV-related Deaths,Makueni,41
Adolescents (10-19),HIV-related Deaths,Kitui,48
Adolescents (10-19),HIV-related Deaths,Machakos,50
Adolescents (10-19),HIV-related Deaths,Tharaka Nithi,14
